Altitude (m),Temperature (deg C),Gravity (m/s2),Pressure (N/m2),Density (kg/m3),Dynamic Viscosity (N*s/m2)
10500,-53.13745169433787,9.77433317098112,24540.25163220681,0.38857035752251046,1.4400320845131419e-05
10600,-53.78529951003287,9.774026159999886,24162.828160502188,0.3837241462119074,1.4364928685359437e-05
10700,-54.43312697704235,9.773719163483209,23790.130406547058,0.37892446061349133,1.4329492456893318e-05
10800,-55.080934096325024,9.773412181430182,23422.11275437568,0.3741709880001478,1.429401203622586e-05
10900,-55.72872086883953,9.773105213839893,23058.72989736171,0.36946341684804224,1.4258487299486874e-05
11000,-56.37648729554445,9.772798260711433,22699.93683700412,0.36480143683538285,1.4222918122444123e-05
11100,-56.49999999999997,9.772491322043898,22345.993679616364,0.3593180919723216,1.4216130796413357e-05
11200,-56.49999999999997,9.772184397836375,21997.600339616893,0.3537160126027805,1.4216130796413357e-05
11300,-56.49999999999997,9.77187748808796,21654.649439559744,0.3482014463312823,1.4216130796413357e-05
11400,-56.49999999999997,9.77157059279774,21317.055793390267,0.34277302338698307,1.4216130796413357e-05
11500,-56.49999999999997,9.77126371196481,20984.735551008904,0.3374293954808688,1.4216130796413357e-05
11600,-56.49999999999997,9.770956845588262,20657.606177278878,0.3321692354682042,1.4216130796413357e-05
11700,-56.49999999999997,9.770649993667186,20335.586431364325,0.3269912370162949,1.4216130796413357e-05
11800,-56.49999999999997,9.770343156200676,20018.596346393708,0.32189411427748,1.4216130796413357e-05
11900,-56.49999999999997,9.770036333187825,19706.557209443457,0.3168766015672742,1.4216130796413357e-05
12000,-56.49999999999997,9.769729524627722,19399.391541836598,0.31193745304757425,1.4216130796413357e-05
12100,-56.49999999999997,9.769422730519464,19097.023079751652,0.3070754424148552,1.4216130796413357e-05
12200,-56.49999999999997,9.769115950862135,18799.376755136673,0.3022893625932724,1.4216130796413357e-05
12300,-56.49999999999997,9.768809185654838,18506.378676923778,0.2975780254325961,1.4216130796413357e-05
12400,-56.49999999999997,9.768502434896657,18217.956112539363,0.2929402614109,1.4216130796413357e-05
12500,-56.49999999999997,9.76819569858669,17934.037469705305,0.2883749193419294,1.4216130796413357e-05
12600,-56.49999999999997,9.767888976724027,17654.552278526666,0.2838808660870753,1.4216130796413357e-05
12700,-56.49999999999997,9.767582269307761,17379.43117386129,0.27945698627188253,1.4216130796413357e-05
12800,-56.49999999999997,9.767275576336983,17108.605877966853,0.275102182007018,1.4216130796413357e-05
12900,-56.49999999999997,9.766968897810793,16842.009183421047,0.2708153726136319,1.4216130796413357e-05
